product_id,name,total_sales
1,Product_1,78494
2,Product_2,58965
3,Product_3,82818
4,Product_4,2884
5,Product_5,23746
6,Product_6,85326
7,Product_7,75489
8,Product_8,20122
9,Product_9,29260
10,Product_10,62461
11,Product_11,21473
12,Product_12,76945
13,Product_13,26633
14,Product_14,97951
15,Product_15,65987
16,Product_16,97919
17,Product_17,19905
18,Product_18,47773
19,Product_19,35251
20,Product_20,70653
21,Product_21,70878
22,Product_22,77112
23,Product_23,4781
24,Product_24,63490
25,Product_25,9022
26,Product_26,54187
27,Product_27,89697
28,Product_28,19917
29,Product_29,41852
30,Product_30,24886
31,Product_31,73789
32,Product_32,58340
33,Product_33,5126
34,Product_34,7954
35,Product_35,64373
36,Product_36,69906
37,Product_37,12368
38,Product_38,93415
39,Product_39,99788
40,Product_40,47288
41,Product_41,3476
42,Product_42,77418
43,Product_43,71424
44,Product_44,72529
45,Product_45,98583
46,Product_46,89789
47,Product_47,16326
48,Product_48,76698
49,Product_49,87322
50,Product_50,13122
51,Product_51,30195
52,Product_52,2676
53,Product_53,18127
54,Product_54,61443
55,Product_55,36268
56,Product_56,74424
57,Product_57,74623
58,Product_58,79232
59,Product_59,49772
60,Product_60,59225
61,Product_61,66406
62,Product_62,72898
63,Product_63,83971
64,Product_64,4529
65,Product_65,15492
66,Product_66,96988
67,Product_67,20275
68,Product_68,52354
69,Product_69,46865
70,Product_70,87725
71,Product_71,46813
72,Product_72,48221
73,Product_73,61920
74,Product_74,44176
75,Product_75,82086
76,Product_76,21583
77,Product_77,24864
78,Product_78,9070
79,Product_79,75201
80,Product_80,56897
81,Product_81,48599
82,Product_82,61091
83,Product_83,3330
84,Product_84,53095
85,Product_85,159
86,Product_86,75917
87,Product_87,54649
88,Product_88,13733
89,Product_89,64132
90,Product_90,16356
91,Product_91,30381
92,Product_92,52697
93,Product_93,63671
94,Product_94,18384
95,Product_95,52539
96,Product_96,20050
97,Product_97,58118
98,Product_98,29068
99,Product_99,41586
100,Product_100,87025
101,Product_101,78959
102,Product_102,96798
103,Product_103,64219
104,Product_104,99598
105,Product_105,84490
106,Product_106,25190
107,Product_107,21455
108,Product_108,20232
109,Product_109,69800
110,Product_110,56971
111,Product_111,80466
112,Product_112,48712
113,Product_113,75732
114,Product_114,88203
115,Product_115,25636
116,Product_116,11396
117,Product_117,12296
118,Product_118,28856
119,Product_119,40083
120,Product_120,58437
121,Product_121,67815
122,Product_122,51057
123,Product_123,79741
124,Product_124,82767
125,Product_125,14803
126,Product_126,95876
127,Product_127,2677
128,Product_128,73386
129,Product_129,86352
130,Product_130,9909
131,Product_131,24381
132,Product_132,64777
133,Product_133,3229
134,Product_134,32006
135,Product_135,60088
136,Product_136,65674
137,Product_137,8391
138,Product_138,60991
139,Product_139,60132
140,Product_140,47134
141,Product_141,79471
142,Product_142,74840
143,Product_143,81337
144,Product_144,76635
145,Product_145,64214
146,Product_146,56114
147,Product_147,45461
148,Product_148,47305
149,Product_149,23085
150,Product_150,85392
151,Product_151,28940
152,Product_152,16719
153,Product_153,43378
154,Product_154,587
155,Product_155,45295
156,Product_156,72304
157,Product_157,33574
158,Product_158,80146
159,Product_159,49980
160,Product_160,54367
161,Product_161,13880
162,Product_162,78894
163,Product_163,19278
164,Product_164,85151
165,Product_165,77312
166,Product_166,91854
167,Product_167,59426
168,Product_168,66259
169,Product_169,4766
170,Product_170,93075
171,Product_171,20270
172,Product_172,43031
173,Product_173,27123
174,Product_174,74057
175,Product_175,56653
176,Product_176,16888
177,Product_177,51960
178,Product_178,68578
179,Product_179,84349
180,Product_180,18524
181,Product_181,42184
182,Product_182,48371
183,Product_183,53897
184,Product_184,52991
185,Product_185,40052
186,Product_186,66492
187,Product_187,77313
188,Product_188,68886
189,Product_189,25425
190,Product_190,16064
191,Product_191,29066
192,Product_192,67940
193,Product_193,38780
194,Product_194,62371
195,Product_195,60768
196,Product_196,38462
197,Product_197,50211
198,Product_198,67512
199,Product_199,61911
200,Product_200,12725
201,Product_201,9790
202,Product_202,36565
203,Product_203,49838
204,Product_204,34322
205,Product_205,66465
206,Product_206,6934
207,Product_207,47213
208,Product_208,26073
209,Product_209,24149
210,Product_210,33888
211,Product_211,68042
212,Product_212,28401
213,Product_213,11391
214,Product_214,66228
215,Product_215,40846
216,Product_216,79320
217,Product_217,50808
218,Product_218,15632
219,Product_219,74645
220,Product_220,94625
221,Product_221,65952
222,Product_222,27160
223,Product_223,54797
224,Product_224,27757
225,Product_225,78129
226,Product_226,80917
227,Product_227,18770
228,Product_228,15973
229,Product_229,18179
230,Product_230,8263
231,Product_231,18220
232,Product_232,29951
233,Product_233,64625
234,Product_234,83637
235,Product_235,70484
236,Product_236,33530
237,Product_237,54625
238,Product_238,2954
239,Product_239,52367
240,Product_240,87526
241,Product_241,14541
242,Product_242,20731
243,Product_243,22976
244,Product_244,74590
245,Product_245,94379
246,Product_246,80554
247,Product_247,94448
248,Product_248,7115
249,Product_249,53146
250,Product_250,74064
251,Product_251,54001
252,Product_252,81999
253,Product_253,51968
254,Product_254,68854
255,Product_255,6685
256,Product_256,60095
257,Product_257,51108
258,Product_258,19994
259,Product_259,93783
260,Product_260,5787
261,Product_261,7069
262,Product_262,10713
263,Product_263,53847
264,Product_264,25438
265,Product_265,10968
266,Product_266,32897
267,Product_267,50428
268,Product_268,1094
269,Product_269,52591
270,Product_270,33878
271,Product_271,99164
272,Product_272,40482
273,Product_273,77405
274,Product_274,74140
275,Product_275,22385
276,Product_276,11689
277,Product_277,5042
278,Product_278,90446
279,Product_279,26620
280,Product_280,17935
281,Product_281,26631
282,Product_282,7771
283,Product_283,93735
284,Product_284,98512
285,Product_285,83700
286,Product_286,90317
287,Product_287,76372
288,Product_288,13745
289,Product_289,282
290,Product_290,97620
291,Product_291,91807
292,Product_292,99791
293,Product_293,55525
294,Product_294,88348
295,Product_295,42928
296,Product_296,58098
297,Product_297,48291
298,Product_298,10620
299,Product_299,30838
300,Product_300,16919
301,Product_301,89983
302,Product_302,27302
303,Product_303,17287
304,Product_304,56795
305,Product_305,94033
306,Product_306,58834
307,Product_307,73874
308,Product_308,11941
309,Product_309,95513
310,Product_310,3653
311,Product_311,65261
312,Product_312,57008
313,Product_313,18523
314,Product_314,48363
315,Product_315,57761
316,Product_316,17580
317,Product_317,6869
318,Product_318,30558
319,Product_319,6405
320,Product_320,29342
321,Product_321,97739
322,Product_322,54505
323,Product_323,32511
324,Product_324,27780
325,Product_325,47140
326,Product_326,39964
327,Product_327,11355
328,Product_328,58008
329,Product_329,137
330,Product_330,9313
331,Product_331,52750
332,Product_332,15261
333,Product_333,75980
334,Product_334,32484
335,Product_335,4336
336,Product_336,3638
337,Product_337,81348
338,Product_338,48781
339,Product_339,32110
340,Product_340,54241
341,Product_341,47070
342,Product_342,27831
343,Product_343,79858
344,Product_344,15676
345,Product_345,69380
346,Product_346,60165
347,Product_347,97164
348,Product_348,7413
349,Product_349,10663
350,Product_350,88844
351,Product_351,5933
352,Product_352,3311
353,Product_353,24804
354,Product_354,49300
355,Product_355,40263
356,Product_356,89889
357,Product_357,32052
358,Product_358,79838
359,Product_359,5150
360,Product_360,59219
361,Product_361,26850
362,Product_362,14017
363,Product_363,7679
364,Product_364,23383
365,Product_365,26954
366,Product_366,75203
367,Product_367,4505
368,Product_368,9725
369,Product_369,78829
370,Product_370,34150
371,Product_371,84297
372,Product_372,96738
373,Product_373,3263
374,Product_374,42819
375,Product_375,33904
376,Product_376,60819
377,Product_377,67965
378,Product_378,48854
379,Product_379,4138
380,Product_380,46428
381,Product_381,85739
382,Product_382,76764
383,Product_383,16493
384,Product_384,9119
385,Product_385,17237
386,Product_386,59180
387,Product_387,85749
388,Product_388,82283
389,Product_389,45126
390,Product_390,99296
391,Product_391,22421
392,Product_392,77625
393,Product_393,46266
394,Product_394,12827
395,Product_395,93396
396,Product_396,48694
397,Product_397,24099
398,Product_398,32707
399,Product_399,81322
400,Product_400,28370
401,Product_401,25906
402,Product_402,1913
403,Product_403,14388
404,Product_404,85642
405,Product_405,88621
406,Product_406,14417
407,Product_407,13485
408,Product_408,1868
409,Product_409,76082
410,Product_410,92938
411,Product_411,10034
412,Product_412,3098
413,Product_413,43568
414,Product_414,72975
415,Product_415,70961
416,Product_416,70542
417,Product_417,9653
418,Product_418,92429
419,Product_419,62926
420,Product_420,9725
421,Product_421,51921
422,Product_422,44235
423,Product_423,90905
424,Product_424,36391
425,Product_425,67829
426,Product_426,42513
427,Product_427,37785
428,Product_428,501
429,Product_429,60525
430,Product_430,33681
431,Product_431,92175
432,Product_432,93540
433,Product_433,55444
434,Product_434,86515
435,Product_435,84598
436,Product_436,43996
437,Product_437,59869
438,Product_438,44295
439,Product_439,75003
440,Product_440,71266
441,Product_441,9817
